"module name","licenses"
"@ory/client@0.2.0-alpha.24","Apache-2.0"
"@types/babel-types@7.0.9","MIT"
"@types/babylon@6.16.5","MIT"
"@types/body-parser@1.19.0","MIT"
"@types/connect@3.4.33","MIT"
"@types/cookie-parser@1.4.2","MIT"
"@types/csurf@1.11.0","MIT"
"@types/express-serve-static-core@4.17.14","MIT"
"@types/express@4.17.9","MIT"
"@types/mime@2.0.3","MIT"
"@types/morgan@1.9.2","MIT"
"@types/node@14.14.10","MIT"
"@types/qs@6.9.5","MIT"
"@types/range-parser@1.2.3","MIT"
"@types/serve-static@1.13.8","MIT"
"@types/url-join@4.0.0","MIT"
"accepts@1.3.8","MIT"
"acorn-globals@3.1.0","MIT"
"acorn@3.3.0","MIT"
"acorn@4.0.13","MIT"
"align-text@0.1.4","MIT"
"array-flatten@1.1.1","MIT"
"asap@2.0.6","MIT"
"axios@0.21.4","MIT"
"babel-runtime@6.26.0","MIT"
"babel-types@6.26.0","MIT"
"babylon@6.18.0","MIT"
"basic-auth@2.0.1","MIT"
"body-parser@1.20.3","MIT"
"bytes@3.1.2","MIT"
"call-bind@1.0.7","MIT"
"camelcase@1.2.1","MIT"
"center-align@0.1.3","MIT"
"character-parser@2.2.0","MIT"
"clean-css@4.2.3","MIT"
"cliui@2.1.0","ISC"
"constantinople@3.1.2","MIT"
"content-disposition@0.5.4","MIT"
"content-type@1.0.5","MIT"
"cookie-parser@1.4.5","MIT"
"cookie-signature@1.0.6","MIT"
"cookie@0.4.0","MIT"
"cookie@0.7.1","MIT"
"core-js@2.6.12","MIT"
"csrf@3.1.0","MIT"
"csurf@1.11.0","MIT"
"debug@2.6.9","MIT"
"debug@4.3.1","MIT"
"decamelize@1.2.0","MIT"
"define-data-property@1.1.4","MIT"
"depd@1.1.2","MIT"
"depd@2.0.0","MIT"
"destroy@1.2.0","MIT"
"doctypes@1.1.0","MIT"
"ee-first@1.1.1","MIT"
"encodeurl@1.0.2","MIT"
"encodeurl@2.0.0","MIT"
"es-define-property@1.0.0","MIT"
"es-errors@1.3.0","MIT"
"escape-html@1.0.3","MIT"
"esutils@2.0.3","BSD-2-Clause"
"etag@1.8.1","MIT"
"express@4.21.2","MIT"
"finalhandler@1.3.1","MIT"
"follow-redirects@1.15.6","MIT"
"forwarded@0.2.0","MIT"
"fresh@0.5.2","MIT"
"function-bind@1.1.2","MIT"
"get-intrinsic@1.2.4","MIT"
"gopd@1.0.1","MIT"
"has-property-descriptors@1.0.2","MIT"
"has-proto@1.0.3","MIT"
"has-symbols@1.0.3","MIT"
"has@1.0.3","MIT"
"hasown@2.0.2","MIT"
"http-errors@1.7.3","MIT"
"http-errors@2.0.0","MIT"
"hydra-login-consent-logout@0.0.0","Apache*"
"iconv-lite@0.4.24","MIT"
"inherits@2.0.4","ISC"
"ipaddr.js@1.9.1","MIT"
"is-buffer@1.1.6","MIT"
"is-core-module@2.2.0","MIT"
"is-expression@3.0.0","MIT"
"is-promise@2.2.2","MIT"
"is-regex@1.1.1","MIT"
"js-stringify@1.0.2","MIT"
"jstransformer@1.0.0","MIT"
"kind-of@3.2.2","MIT"
"lazy-cache@1.0.4","MIT"
"lodash@4.17.21","MIT"
"longest@1.0.1","MIT"
"media-typer@0.3.0","MIT"
"merge-descriptors@1.0.3","MIT"
"methods@1.1.2","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"mime@1.6.0","MIT"
"morgan@1.10.0","MIT"
"ms@2.0.0","MIT"
"ms@2.1.1","MIT"
"ms@2.1.2","MIT"
"ms@2.1.3","MIT"
"negotiator@0.6.3","MIT"
"node-fetch@2.6.7","MIT"
"object-assign@4.1.1","MIT"
"object-inspect@1.13.1","MIT"
"on-finished@2.3.0","MIT"
"on-finished@2.4.1","MIT"
"on-headers@1.0.2","MIT"
"parseurl@1.3.3","MIT"
"path-parse@1.0.7","MIT"
"path-to-regexp@0.1.12","MIT"
"promise@7.3.1","MIT"
"proxy-addr@2.0.7","MIT"
"pug-attrs@2.0.4","MIT"
"pug-code-gen@2.0.3","MIT"
"pug-error@1.3.3","MIT"
"pug-filters@3.1.1","MIT"
"pug-lexer@4.1.0","MIT"
"pug-linker@3.0.6","MIT"
"pug-load@2.0.12","MIT"
"pug-parser@5.0.1","MIT"
"pug-runtime@2.0.5","MIT"
"pug-strip-comments@1.0.4","MIT"
"pug-walk@1.1.8","MIT"
"pug@2.0.4","MIT"
"qs@6.13.0","BSD-3-Clause"
"querystring@0.2.0","MIT"
"random-bytes@1.0.0","MIT"
"range-parser@1.2.1","MIT"
"raw-body@2.5.2","MIT"
"regenerator-runtime@0.11.1","MIT"
"repeat-string@1.6.1","MIT"
"resolve@1.19.0","MIT"
"right-align@0.1.3","MIT"
"rndm@1.2.0","MIT"
"safe-buffer@5.1.1","MIT"
"safe-buffer@5.1.2","MIT"
"safe-buffer@5.2.1","MIT"
"safer-buffer@2.1.2","MIT"
"send@0.19.0","MIT"
"serve-favicon@2.5.0","MIT"
"serve-static@1.16.2","MIT"
"set-function-length@1.2.2","MIT"
"setprototypeof@1.1.1","ISC"
"setprototypeof@1.2.0","ISC"
"side-channel@1.0.6","MIT"
"source-map@0.5.7","BSD-3-Clause"
"source-map@0.6.1","BSD-3-Clause"
"statuses@1.5.0","MIT"
"statuses@2.0.1","MIT"
"to-fast-properties@1.0.3","MIT"
"toidentifier@1.0.0","MIT"
"toidentifier@1.0.1","MIT"
